province,year,month,sst,chlor_a,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
ชลบุรี,2562,1,28.4106,12.1324,1.0,15.0165,14.0165
ชลบุรี,2562,2,28.715,21.2075,0.0,7.012,7.012
ชลบุรี,2562,3,29.5968,20.5165,0.0,2.9598,2.9598
ชลบุรี,2562,4,30.9053,15.2365,0.0,8.7457,8.7457
ชลบุรี,2562,5,31.4216,14.3897,10.0,15.1357,5.1357
ชลบุรี,2562,6,30.5003,13.3859,0.0,19.2812,19.2812
ชลบุรี,2562,7,30.1006,20.5847,1.0,34.9252,33.9252
ชลบุรี,2562,8,29.6981,97.8685,1.0,62.5682,61.5682
ชลบุรี,2562,9,29.1957,19.7233,7.0,49.1275,42.1275
ชลบุรี,2562,10,30.1329,5.8765,3.0,21.5268,18.5268
ชลบุรี,2562,11,29.464,5.4299,0.0,12.7669,12.7669
ชลบุรี,2562,12,27.8597,4.9504,0.0,21.1753,21.1753
