province,year,month,sst,chlor_a,rainfall,wind_speed,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
สมุทรปราการ,2567,1,27.53,3.14,15.0,15.5258,10.0,10.6948,0.6948
สมุทรปราการ,2567,2,28.32,5.92,15.9,18.3724,4.0,6.0,2.0
สมุทรปราการ,2567,3,29.63,10.04,55.3,20.3677,2.0,4.4335,2.4335
สมุทรปราการ,2567,4,31.02,11.79,10.2,23.1167,2.0,4.5415,2.5415
สมุทรปราการ,2567,5,31.74,8.56,100.0,18.571,4.0,6.9623,2.9623
สมุทรปราการ,2567,6,31.86,13.9,100.0,20.5867,4.0,7.0,3.0
สมุทรปราการ,2567,7,29.64,20.04,100.0,19.1548,3.0,14.019,11.019
สมุทรปราการ,2567,8,28.94,30.23,95.0,17.1032,5.0,14.3622,9.3622
สมุทรปราการ,2567,9,30.27,28.61,100.0,16.7767,5.0,18.9571,13.9571
สมุทรปราการ,2567,10,29.82,8.09,100.0,13.1839,9.0,18.7949,9.7949
สมุทรปราการ,2567,11,31.21,6.78,31.6,16.25,8.0,16.6057,8.6057
สมุทรปราการ,2567,12,28.84,2.68,5.5,15.2161,4.0,14.8469,10.8469
