province,year,month,sst,chlor_a,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
สมุทรสงคราม,2566,1,26.4713,6.4037,55.0,66.6066,11.6066
สมุทรสงคราม,2566,2,27.4367,7.1272,42.0,17.7759,24.2241
สมุทรสงคราม,2566,3,28.3781,6.0719,28.0,38.3031,10.3031
สมุทรสงคราม,2566,4,30.6193,5.3201,22.0,42.6264,20.6264
สมุทรสงคราม,2566,5,31.6716,8.018,43.0,36.8614,6.1386
สมุทรสงคราม,2566,6,30.5937,10.1071,46.0,41.7345,4.2655
สมุทรสงคราม,2566,7,30.6765,7.1661,118.0,81.4898,36.5102
สมุทรสงคราม,2566,8,30.3816,8.1999,127.0,85.6588,41.3412
สมุทรสงคราม,2566,9,30.3697,4.7633,130.0,128.6588,1.3412
สมุทรสงคราม,2566,10,30.1532,18.7274,204.0,83.8261,120.1739
สมุทรสงคราม,2566,11,29.3867,11.296,180.0,58.0666,121.9334
สมุทรสงคราม,2566,12,28.5468,6.647,127.0,50.8919,76.1081
