province,year,month,sst,chlor_a,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
สมุทรสาคร,2567,1,27.48,4.69,320.0,221.8625,98.1375
สมุทรสาคร,2567,2,28.47,7.95,13.0,185.12,172.12
สมุทรสาคร,2567,3,29.21,2.85,2.0,158.059,156.059
สมุทรสาคร,2567,4,30.85,4.27,17.0,148.1422,131.1422
สมุทรสาคร,2567,5,31.52,3.93,83.0,146.9934,63.9934
สมุทรสาคร,2567,6,31.77,11.05,133.0,144.4459,11.4459
สมุทรสาคร,2567,7,29.55,15.04,54.0,184.3222,130.3222
สมุทรสาคร,2567,8,28.81,21.81,46.0,255.5471,209.5471
สมุทรสาคร,2567,9,30.27,22.04,33.0,203.3684,170.3684
สมุทรสาคร,2567,10,29.85,11.56,41.0,220.0504,179.0504
สมุทรสาคร,2567,11,30.75,7.78,77.0,246.0703,169.0703
สมุทรสาคร,2567,12,29.05,10.8,764.0,375.1265,388.8735
