province,year,month,sst,chlor_a,actual_mackerel_ton,predicted_mackerel_ton,absolute_error_ton
เพชรบุรี,2568,1,26.89,1.74,0.0,15.7186,15.7186
เพชรบุรี,2568,2,26.68,1.48,0.0,11.5,11.5
เพชรบุรี,2568,3,28.39,1.93,0.0,13.8881,13.8881
เพชรบุรี,2568,4,29.82,2.33,0.0,10.5,10.5
เพชรบุรี,2568,5,31.37,2.5,0.0,13.0,13.0
เพชรบุรี,2568,6,30.71,2.22,0.0,15.1792,15.1792
เพชรบุรี,2568,7,29.0,2.43,0.0,16.0452,16.0452
เพชรบุรี,2568,8,29.55,3.74,0.0,16.1102,16.1102
เพชรบุรี,2568,9,28.69,4.74,0.0,15.6879,15.6879
เพชรบุรี,2568,10,30.42,5.62,0.0,15.7559,15.7559
เพชรบุรี,2568,11,29.56,3.46,0.0,16.0412,16.0412
เพชรบุรี,2568,12,26.33,2.89,0.0,15.9646,15.9646
